Dataset,Disjoint-CNN,XCM,TPS (IT+TPS+PE),FreConvNet,HDTCNet,LITEMVTime
ArticularyWordRecognition,98.44,98.3,99,99.3,99.3,97.33
AtrialFibrillation,37.48,46.7,46.7,53.3,46.7,13.33
BasicMotions,100,100,100,100,100,100
CharacterTrajectories,,99.5,99.9,,,99.58
Cricket,99.91,100,100,100,100,98.61
DuckDuckGeese,64.4,70,74,,,18
EigenWorms,59.34,43.5,95.4,,,93.89
Epilepsy,98.87,99.3,97.8,99.1,100,99.28
ERing,96.39,13.3,94.8,,92.6,84.44
EthanolConcentration,30.93,34.6,36.1,36,32.6,69.2
FaceDetection,56.67,63.9,64.8,65.1,66.7,61.01
FingerMovements,60.37,60,63,63.8,67,56
HandMovementDirection,32.44,44.6,44.6,54.1,48.6,35.14
Handwriting,32.09,41.2,58.7,57.5,68.3,40
Heartbeat,75.94,77.6,78,77.6,80.3,61.46
InsectWingbeat,,10.5,69.5,76.6,,61.72
JapaneseVowels,,98.6,99.2,98.6,99.2,96.49
Libras,91.62,84.4,90,95.9,96.1,89.44
LSST,54.7,61.2,65.2,69.9,43.8,66.42
MotorImagery,56.94,54,65,64.3,,53
NATOPS,96.67,97.8,95.6,98.4,98.9,90
PenDigits,99.47,99.1,99.1,98.8,99.3,98.86
PEMS-SF,81.74,75.7,81.5,,89.6,79.19
PhonemeSpectra,28.21,22.5,32.6,26.1,35.5,15.81
RacketSports,84.61,89.5,92.1,90.4,92.8,73.68
SelfRegulationSCP1,90.33,87.8,87.7,92.8,92.8,73.04
SelfRegulationSCP2,53.76,54.4,59.4,59.4,59.6,55
SpokenArabicDigits,,99.5,99.8,99.7,99.9,98.59
StandWalkJump,43.56,40,66.7,43.3,53.3,66.67
UWaveGestureLibrary,92.42,89.4,91.3,93.2,92.3,84.68
